x,y,z,field
0.75,0.75,10.5,0.063
-0.75,-0.75,12.0,-0.105
-0.75,-0.375,12.0,-0.062
-0.75,0.0,12.0,-0.02
-0.75,0.375,12.0,0.022
-0.75,0.75,12.0,0.064
-0.375,-0.75,12.0,-0.094
-0.375,-0.375,12.0,-0.051
-0.375,0.0,12.0,-0.008
-0.375,0.375,12.0,0.033
-0.375,0.75,12.0,0.074
0.0,-0.75,12.0,-0.092
0.0,-0.375,12.0,-0.049
0.0,0.0,12.0,-0.007
0.0,0.375,12.0,0.036
0.0,0.75,12.0,0.077
0.375,-0.75,12.0,-0.096
0.375,-0.375,12.0,-0.053
0.375,0.0,12.0,-0.01
0.375,0.375,12.0,0.032
0.375,0.75,12.0,0.073
0.75,-0.75,12.0,-0.111
0.75,-0.375,12.0,-0.067
0.75,0.0,12.0,-0.025
0.75,0.375,12.0,0.018
0.75,0.75,12.0,0.06
-0.75,-0.75,13.5,-0.091
-0.75,-0.375,13.5,-0.055
-0.75,0.0,13.5,-0.019
-0.75,0.375,13.5,0.018
-0.75,0.75,13.5,0.053
-0.375,-0.75,13.5,-0.081
-0.375,-0.375,13.5,-0.045
-0.375,0.0,13.5,-0.009
-0.375,0.375,13.5,0.027
-0.375,0.75,13.5,0.062
0.0,-0.75,13.5,-0.08
0.0,-0.375,13.5,-0.044
0.0,0.0,13.5,-0.007
0.0,0.375,13.5,0.028
0.0,0.75,13.5,0.063
0.375,-0.75,13.5,-0.085
0.375,-0.375,13.5,-0.048
0.375,0.0,13.5,-0.01
0.375,0.375,13.5,0.026
0.375,0.75,13.5,0.06
0.75,-0.75,13.5,-0.097
0.75,-0.375,13.5,-0.06
0.75,0.0,13.5,-0.024
0.75,0.375,13.5,0.014
0.75,0.75,13.5,0.051
-0.75,-0.75,15.0,-0.07
-0.75,-0.375,15.0,-0.044
-0.75,0.0,15.0,-0.018
-0.75,0.375,15.0,0.009
-0.75,0.75,15.0,0.036
-0.375,-0.75,15.0,-0.062
-0.375,-0.375,15.0,-0.036
-0.375,0.0,15.0,-0.009
-0.375,0.375,15.0,0.017
-0.375,0.75,15.0,0.043
0.0,-0.75,15.0,-0.061
0.0,-0.375,15.0,-0.035
0.0,0.0,15.0,-0.008
0.0,0.375,15.0,0.018
0.0,0.75,15.0,0.044
0.375,-0.75,15.0,-0.065
0.375,-0.375,15.0,-0.038
0.375,0.0,15.0,-0.01
